file_style_id,file,origin_tool,ifc_schema,style_code,handing,shape,operation_guess,panel_config_guess,classification_confidence,classification_basis,classification_evidence,golden_target_verdict,bakedness_class,parametric_integrity_score,geometry,has_lining_props,has_panel_props,source_style_name,window_count,source,source_url,provenance_note,license_note
F157,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='fast vindu+ åpningsvindu:v19 2' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V19 21x16,1,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F158,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='fast vindu+ åpningsvindu:v20 1' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V20 19x16,1,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F159,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='fast vindu+ åpningsvindu:v15 2' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V15 24x16,1,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F160,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='fast vindu+ åpningsvindu:v21 3' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V21 35x16,2,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F161,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='vindu 3 felt:v7 24x22:5436093 ' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V7 24x22,4,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F162,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='vindu 3 felt:v11 35x22:5444204' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V11 35x22,2,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F163,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='vindu 3 felt:v9 30x22:5444681 ' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V9 30x22,3,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F164,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='vindu 3 felt:v10 30x22:5444956' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V10 30x22,1,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F165,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='vindu 3 felt:v9 30x22:5445253 ' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V9 30x22,2,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F166,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='vindu 3 felt:v8 27x22:5445842 ' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V8 27x22,3,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
